ZIPCODE,ABDPN,CARD,DIFFBR,DRUG,EDP,INJURY,OTHER,SHOT,SICK,STAB,UNC,UNKNOW,MOST_COMMON_TYPE
10000,19,41,28,84,135,943,61,6,314,4,97,150,INJURY
10001,7367,9297,10100,29025,22356,38554,4573,259,38441,625,22775,14729,INJURY
10002,10879,9581,18711,19765,19775,38985,5832,410,40014,936,19890,17291,SICK
10003,5644,8111,9450,27339,17682,30576,4775,181,30539,463,22999,14091,INJURY
10004,947,1797,1705,3351,2816,5288,671,30,5287,50,2471,2099,INJURY
10005,579,907,755,1508,1334,2703,359,9,2391,32,1654,1151,INJURY
10006,374,502,487,864,886,2389,197,13,1597,24,800,590,INJURY
10007,1439,2359,1986,3264,3874,8266,934,50,8058,116,4278,3082,INJURY
10009,7640,6966,13806,17633,13991,26019,4197,360,29839,710,15007,11699,SICK
10010,2819,4009,4948,9417,7625,15223,2435,114,14751,200,9107,6966,INJURY
10011,4878,5602,8793,15771,14499,26037,3979,190,23209,459,16353,11057,INJURY
10012,1501,2031,2707,8252,6154,10788,1709,68,8245,200,8285,4888,INJURY
10013,3584,6489,5916,11535,11328,22307,3110,155,23113,289,8615,7646,SICK
10014,1680,2369,3508,8845,6136,14216,1900,88,10450,223,8378,5185,INJURY
10016,5429,8020,10309,21862,17722,24847,4424,171,27525,379,16545,12967,SICK
10017,3266,4376,4245,12043,8360,16494,2026,83,17040,158,9291,6180,SICK
10018,3584,4894,4340,19844,14260,19432,2007,114,17379,389,12520,7438,DRUG
10019,5688,7854,9019,17149,15964,30231,4085,174,27411,413,16414,12529,INJURY
10020,180,335,270,431,468,1697,140,10,1210,17,770,461,INJURY
10021,1871,3381,4751,4174,3774,11267,1988,19,9970,51,5245,4894,INJURY
10022,2974,5010,5509,7681,6803,19907,2640,64,16872,180,9511,7813,INJURY
10023,3456,4564,6711,5851,7930,20415,3000,101,17393,229,7627,8155,INJURY
10024,3621,4470,7636,5443,7119,16712,2574,73,16677,182,5972,7155,INJURY
10025,9216,9586,18729,13287,19137,33067,6397,1047,39089,702,12969,14612,SICK
10026,5652,4482,10542,8243,10914,17854,2830,580,20349,714,7764,8389,SICK
10027,10432,9298,19342,15542,24213,34865,5078,920,42438,1280,15222,14621,SICK
10028,2060,3074,4061,4848,4867,11785,1840,36,9952,114,5505,4837,INJURY
10029,14350,11943,28250,17859,22368,43473,6754,1182,51578,1543,16356,18446,SICK
10030,5843,4105,9604,5145,10629,16549,2448,461,20875,663,4871,5956,SICK
10031,7797,6217,13499,8597,13709,24145,3311,604,28905,1067,8300,8614,SICK
10032,8342,7945,14840,11605,17121,25169,3992,661,33785,977,10944,11860,SICK
10033,6731,6580,11213,10753,10964,20609,2947,483,25841,739,9488,9194,SICK
10034,4660,3949,7876,4898,6823,14326,1945,452,16835,591,5228,5483,SICK
10035,11610,12235,20228,29783,32078,38036,5247,938,50490,1344,18949,17155,SICK
10036,6362,8391,9436,21399,18364,32868,4306,300,31011,603,17837,13158,INJURY
10037,3264,2866,6489,4892,6180,10986,2002,407,13362,466,5284,5469,SICK
10038,2683,2538,4501,4973,5749,11231,1709,129,11216,190,5085,5108,INJURY
10039,5161,3574,8957,3940,6767,13620,2135,417,17888,584,3965,4924,SICK
10040,4585,4051,7987,4536,5935,12276,1784,274,16353,472,5694,5108,SICK
10041,45,124,105,25,36,168,18,0,231,0,55,44,SICK
10044,278,518,964,225,503,1130,112,0,1195,7,388,138,SICK
10048,6,12,11,1,9,15,1,0,24,0,11,12,SICK
10055,13,17,11,3,18,42,1,0,43,0,22,7,SICK
10065,2009,3240,3924,4117,5337,11811,1713,32,10745,71,4628,4708,INJURY
10069,121,122,180,171,233,657,84,2,411,3,204,235,INJURY
10075,1019,1745,2872,3120,2824,6171,1142,22,5393,50,3631,2927,INJURY
10103,27,49,36,31,79,163,17,0,165,1,104,70,SICK
10105,20,26,17,21,18,89,19,0,75,0,47,33,INJURY
10106,19,42,28,96,108,195,43,0,242,3,207,113,SICK
10107,8,19,29,35,26,75,13,0,72,1,32,27,INJURY
10110,4,7,9,3,6,43,7,0,31,0,10,9,INJURY
10111,20,50,46,37,21,473,16,0,168,1,100,33,INJURY
10112,30,113,64,45,75,668,10,0,227,1,91,47,INJURY
10118,55,62,68,54,74,305,31,0,247,2,122,60,INJURY
10119,62,128,103,202,180,489,47,1,410,4,267,166,INJURY
10120,19,33,19,39,52,80,14,0,78,1,50,37,INJURY
10121,312,535,349,1790,1191,1759,138,8,2032,19,829,406,SICK
10122,7,10,13,11,21,32,5,0,28,0,23,11,INJURY
10123,14,28,27,35,30,51,8,0,76,1,46,31,SICK
10128,2985,3623,6366,5792,6481,14688,2303,76,13353,160,5725,6115,INJURY
10151,7,6,5,5,6,36,8,0,22,0,14,6,INJURY
10153,34,48,52,43,121,296,21,0,187,1,69,56,INJURY
10154,13,34,31,11,17,48,4,1,63,0,30,18,SICK
10158,12,12,10,6,9,33,4,0,33,0,12,11,INJURY
10162,64,49,145,100,75,246,45,0,256,0,47,93,SICK
10165,86,104,92,490,149,379,19,0,481,1,156,84,DRUG
10167,7,19,9,12,4,40,0,0,51,0,23,18,SICK
10168,74,88,90,173,174,323,54,9,351,5,205,120,SICK
10169,11,20,17,26,38,70,11,0,44,1,81,59,UNC
10170,16,29,29,20,16,78,5,0,79,1,38,9,SICK
10171,8,13,11,6,6,26,2,0,36,0,7,7,SICK
10172,8,25,16,43,18,107,13,0,61,1,63,24,INJURY
10174,12,14,15,18,12,48,8,0,54,0,16,10,SICK
10176,8,7,6,6,4,17,4,0,21,0,24,7,UNC
10178,5,18,23,9,8,47,6,1,46,1,33,21,INJURY
10179,2,13,8,6,6,25,2,0,46,0,16,14,SICK
10271,30,38,30,26,22,82,15,0,105,0,36,30,SICK
10278,73,239,157,41,127,322,22,0,385,1,168,78,SICK
10279,9,14,16,11,13,39,3,0,45,0,22,10,SICK
10280,256,292,404,319,355,1060,128,2,916,5,373,374,INJURY
10281,85,151,127,95,121,466,27,0,372,1,154,76,INJURY
10282,284,432,671,220,357,1882,133,2,1211,1,368,342,INJURY
